id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
23057,112634,Amarillo Slim's 7 Card Stud,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
23102,40362,Major Title Tournament Leader,NULL,1992-06-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
23198,86207,Stealth,NULL,1992-12-18 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
23236,11908,Arcade Fruit Machine,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
23391,46258,Shura no Mon,NULL,1992-09-07 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
23618,41781,Daisenryaku II: Campaign Version,NULL,1992-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
23619,45869,Death Bringer,NULL,1992-05-17 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
23657,46179,Twinkle Tale,NULL,1992-08-24 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
23781,12536,Cavitas,NULL,1992-07-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
24141,48534,Columbus: Ougon no Yoake,NULL,1992-12-20 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
24182,78145,Hook,NULL,1992-12-31 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
24316,49099,Saint Paradise ~ Saikyō no senshitachi,NULL,1992-12-13 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
24390,48825,Quiz Project Q: Cutie Project & Battle 10000,NULL,1992-06-29 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
24548,38072,Toilet Kids,NULL,1992-04-06 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
24811,45897,Girl's Club,NULL,1992-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
24918,12748,Robin Hood: Legend Quest,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
24978,20707,Viewpoint,NULL,1992-01-11 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
25011,106306,Zombie Apocalypse,NULL,1992-12-31 00:00:00.000,NULL,1,NULL,NULL,NULL,NULL
25183,21425,Far East of Eden II,NULL,1992-03-26 00:00:00.000,NULL,NULL,60.0000,1,NULL,NULL
25326,12155,Indiana Jones and the Fate of Atlantis: The Action Game,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
25438,14306,Bill's Tomato Game,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
25653,11111,Acid Drop,"Colored blocks drop relentlessly down to fill the screen. Using your joystick you must quickly spin, shift and align the colors of the blocks in order to clear them from the screen. It's challenging and the pace is demanding! But... satisfaction comes when you see the ""ACID DROP"" fall and dissolve your highest lines and give you a new lease on life. Need a tougher contest - start from a higher level! Pick your pace from the 30 progressive skill levels. Hours of addictive fun guaranteed!",1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
